"store_id","hub_id","store_segment","store_plan_price","store_latitude","store_longitude"
"1634","8","GOOD",,"-22.921474","-43.23482"
"1635","37","FOOD","29","-23.507105","-46.718197"
"1636","33","GOOD","29","-23.579067","-46.594006"
"1641","25","GOOD","29","-23.570765","-46.642044"
"1642","27","GOOD","29","-23.622995","-46.699203"
"1647","44","GOOD","29","-25.43514","-49.316788"
"1649","44","GOOD","29","-25.43514","-49.316788"
"1661","44","GOOD","29","-25.43514","-49.316788"
"1664","26","FOOD","49","-23.563759","-46.652622"
"1667","44","GOOD","29","-25.43514","-49.316788"
"1674","27","GOOD","29","-23.622995","-46.699203"
"1679","17","GOOD","29","-23.59955","-46.636757"
"1680","43","GOOD","29","-25.441221","-49.27769"
"1681","35","FOOD","49","-22.97315","-43.37081"
"1685","13","GOOD","29","-22.887522","-43.283367"
"1693","17","GOOD","29","-23.59955","-46.636757"
"1696","33","FOOD","49","-23.579067","-46.594006"
"1704","28","FOOD","49","-23.595776","-46.685986"
"1705","8","GOOD","29","-22.921474","-43.23482"
"1721","20","GOOD","29","-22.996847","-43.3612"
"1723","33","GOOD","29","-23.579067","-46.594006"
"1728","33","FOOD","49","-23.579067","-46.594006"
"1729","22","GOOD","29","-23.001696","-43.386494"
"1730","8","GOOD","29","-22.921474","-43.23482"
"1739","20","GOOD","29","-22.996847","-43.3612"
"1745","43","GOOD","29","-25.441221","-49.27769"
"1748","25","GOOD","29","-23.570765","-46.642044"
"1772","20","FOOD",,"-22.996847","-43.3612"
"1784","21","GOOD",,"-23.550407","-46.72129"
"1787","44","GOOD",,"-25.43514","-49.316788"
"1792","36","FOOD","49","-30.085743","-51.246"
"1799","51","GOOD","29","-22.927336","-43.572533"
"1801","17","GOOD","29","-23.59955","-46.636757"
"1804","3","FOOD",,"-30.038145","-51.20352"
"1814","13","FOOD",,"-22.887522","-43.283367"
"1816","44","GOOD","29","-25.43514","-49.316788"
"1820","29","GOOD","29","-23.561052","-46.558975"
"1822","27","GOOD","29","-23.622995","-46.699203"
"1833","8","GOOD","29","-22.921474","-43.23482"
